2026-09-24 23:28:58 +0200 | __main__ | INFO | Found 0 missing dates.
2026-09-24 23:28:58 +0200 | __main__ | INFO | Data history on disk is complete.
2026-09-24 23:28:58 +0200 | __main__ | INFO | Starting current rates download (Daily Load)...
2026-09-24 23:28:58 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-09-24 23:28:59 +0200 | etl.extract.get_raw_data | INFO | API request for main successful.
2026-09-24 23:28:59 +0200 | etl.extract.get_raw_data | INFO | Raw data for main saved at data/raw/year=2026/month=09/day=24
2026-09-24 23:28:59 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-09-24 23:29:00 +0200 | etl.extract.get_raw_data | INFO | API request for alt successful.
2026-09-24 23:29:00 +0200 | etl.extract.get_raw_data | INFO | Raw data for alt saved at data/raw/year=2026/month=09/day=24
2026-09-24 23:29:00 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-09-24 23:29:00 +0200 | etl.extract.get_raw_data | INFO | API request for buy_sell successful.
2026-09-24 23:29:00 +0200 | etl.extract.get_raw_data | INFO | Raw data for buy_sell saved at data/raw/year=2026/month=09/day=24
2026-09-24 23:29:00 +0200 | etl.extract.get_raw_data | INFO | Config file loaded.
2026-09-24 23:29:01 +0200 | etl.extract.get_raw_data | INFO | API request for gold successful.
2026-09-24 23:29:01 +0200 | etl.extract.get_raw_data | INFO | Raw data for gold saved at data/raw/year=2026/month=09/day=24
2026-09-24 23:29:01 +0200 | etl.transform.raw_to_bronze | INFO | Found 374 files in data/raw
2026-09-24 23:29:02 +0200 | etl.transform.raw_to_bronze | INFO | Bronze layer load finished. Success: 374, Errors: 0
2026-09-24 23:29:02 +0200 | etl.transform.bronze_to_silver | INFO | View SILVER_MID_CURRENCIES_RATES created.
2026-09-24 23:29:02 +0200 | etl.transform.bronze_to_silver | INFO | View SILVER_BUY_SELL_CURRENCIES created.
2026-09-24 23:29:02 +0200 | etl.transform.bronze_to_silver | INFO | View SILVER_GOLD_RATES created.
2026-09-24 23:29:02 +0200 | etl.transform.bronze_to_silver | INFO | View GOLD_WEALTH_INDEX created.
2026-09-24 23:29:02 +0200 | etl.transform.bronze_to_silver | INFO | Silver layer load finished. 4 views added to db.
